procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261274720  32692 1044744    0    1  1317  1913    0    0 25  5 64  6  0
 0 26      0 260842928  33068 1046236    0    0 456216 10420 16237 27027  2  1 76 21  0
27  5      0 260415264  43260 1057784    0    0 286351 41252 380633 731243 31  8 41 20  0
20  5      0 259935008  59392 1073556    0    0 142130 59604 465289 977930 38 11 41 10  0
23  3      0 259457728  75644 1090948    0    0 120135 63268 483263 1038244 42 11 38  8  0
26  6      0 259006992  91312 1108312    0    0 131226 62676 469803 1013914 42 11 36 10  0
12  0      0 258538512 102408 1127300    0    0 121024 65421 479878 1030993 43 12 37  8  0
28  4      0 258134896 108204 1144532    0    0 120194 95520 436963 944891 40 11 38 11  0
42  2      0 257702576 116616 1163340    0    0 123764 63872 474290 1027719 44 12 35  9  0
23  4      0 257271424 123368 1182548    0    0 108763 65504 482502 1053426 46 13 34  8  0
40  2      0 256850080 129556 1201792    0    0 121664 62408 474154 1042233 46 12 34  8  0
44  1      0 256457248 133824 1220204    0    0 112980 94452 436804 960128 43 11 36 10  0
11  1      0 256035264 138912 1240188    0    0 120015 61405 468075 1031851 46 13 33  8  0
39  7      0 255619488 143388 1260000    0    0 101400 62648 481048 1074537 49 13 31  7  0
37  3      0 255190576 146220 1280760    0    0 104523 65928 481429 1072491 49 12 32  7  0
43  4      0 254790304 147484 1300304    0    0 114844 61436 467325 1050224 48 12 32  8  0
32  2      0 254402064 150900 1319576    0    0 94259 98040 441090 988930 46 11 34  9  0
13  9      0 254000432 152220 1340112    0    0 97446 64372 475916 1071668 50 13 31  6  0
41  7      0 253596064 153912 1360412    0    0 106264 64672 473656 1069865 50 13 30  7  0
24  0      0 253211424 154568 1380356    0    0 110019 63629 453208 1030697 48 13 32  8  0
31  3      0 252859632 155572 1398572    0    0 98239 104168 423704 964806 45 12 33 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
28  2      0 252487008 156180 1417972    0    0 124241 68872 441305 1004601 47 12 30 10  0
53  4      0 252112896 157160 1437916    0    0 108698 72292 454309 1033191 50 12 29  9  0
30 11      0 251720928 157784 1457236    0    0 111720 82632 427625 970212 46 12 32 10  0
50  2      0 251356992 158248 1476772    0    0 89750 97533 442899 1005996 50 12 29 10  0
16 10      0 251024064 158432 1493940    0    0 99404 118712 403081 906409 43 11 34 12  0
40  2      0 250654656 159176 1513096    0    0 114746 69633 448999 1011100 47 12 31 10  0
35  7      0 250275472 160564 1532972    0    0 106899 72020 468337 1060075 50 12 30  8  0
37 20      0 249903584 161096 1552804    0    0 108399 73064 458707 1041893 49 13 30  9  0
43  4      0 249518944 161688 1572856    0    0 109356 70912 451253 1027106 48 13 31  8  0
37  1      0 249180416 162036 1591472    0    0 99304 105713 418280 952125 45 12 33 10  0
12 42      0 248808800 162036 1612060    0    0 92793 74832 464209 1066804 52 12 29  7  0
49  2      0 248458368 162148 1632592    0    0 120375 71328 432612 1004440 50 12 28 10  0
35 12      0 248105968 162396 1652212    0    0 115777 68828 437432 1001171 48 12 31 10  0
35  3      0 247783680 162412 1670524    0    0 103086 105757 413692 958875 47 11 31 11  0
40  6      0 247426304 162448 1691276    0    0 100207 72768 456609 1047524 52 13 28  7  0
 7  0      0 247082576 162460 1711308    0    0 99709 71532 445806 1032351 50 13 29  8  0
40  6      0 246735696 162480 1731444    0    0 100938 70824 469861 1045560 51 12 29  7  0
51  0      0 246389344 162488 1751988    0    0 99570 72001 456658 1037272 51 12 28  8  0
36  3      0 246053408 162716 1770664    0    0 95264 105380 408455 948079 47 12 31 10  0
35  4      0 245701664 162724 1791836    0    0 84109 72732 458258 1063951 53 13 28  7  0
 7  1      0 245357376 162732 1812508    0    0 96321 71152 447813 1045650 52 13 28  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
44  4      0 245012624 162740 1833712    0    0 98255 72328 451141 1043877 52 13 28  7  0
37  5      0 244708640 162768 1852916    0    0 117433 94421 403335 947362 49 11 27 13  0
42  3      0 244421184 162772 1869988    0    0 99861 143981 367807 844501 44  9 33 14  0
10 36      0 244080736 162788 1889488    0    0 122204 103201 413226 949651 49 11 28 12  0
43  7      0 243741536 162788 1908608    0    0 103351 84413 428278 989489 49 12 29 10  0
46  2      0 243419872 162792 1927836    0    0 127096 77916 426627 989645 49 12 28 11  0
36  3      0 243082816 162804 1948588    0    0 95203 71276 447837 1055773 54 13 26  7  0
16  0      0 242764096 162808 1967980    0    0 79062 109012 422477 992268 50 12 30  8  0
44  4      0 242428176 162912 1989220    0    0 88706 72461 450191 1064348 54 13 26  6  0
33  2      0 242071376 162920 2008704    0    0 114235 61192 427745 998724 51 12 30  8  0
41  3      0 241749312 162920 2026724    0    0 72167 57952 420404 996898 52 12 32  4  0
50  1      0 241440448 162920 2046792    0    0 70471 95400 426090 1013390 53 12 28  7  0
